identifiant,metier,competences
144bfxp,développeur informatique,langage informatique c#. concevoir et développer le programme et application informatique . déterminer un mesure correctif . gestion de projet . langage informatique sql . capacité de adaptation . autonomie . rigueur
144grxs,développeur informatique,"analyser un problème technique . analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . déterminer le phase et procédure de test technique et fonctionnel de programme et application informatique . langage informatique html . langage informatique j2ee . langage informatique java . langage informatique sql . méthode agile . rédiger un spécification technique de besoin stb . traiter le information collecter , classer et mettre à jour"
144knzr,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . gestion de stress . capacité de décision . sens de le organisation
144mcfy,développeur informatique,"analyser un problème technique . analyser le besoin de client . réaliser un support technique . traiter le information collecter , classer et mettre à jour . établir un cahier de charge"
144ngzp,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . curiosité . sens de le communication . autonomie
144pbrw,développeur informatique,travail en équipe . autonomie . rigueur
144sddl,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . former un public à le utilisation de un équipement . informatique industriel . langage informatique c#. langage informatique cs . langage informatique java . langage informatique php . langage informatique sql . langage informatique vb.net . progiciel de gestion intégrer pgi enterprise resource planning erp . rédiger un spécification technique de besoin stb . établir un cahier de charge . force de proposition . travail en équipe . autonomie
144wvvt,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . force de proposition . persévérance . autonomie
144ztwj,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
145cxlm,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . capacité de adaptation . force de proposition . autonomie
145fjkd,développeur informatique,analyser un problème technique . analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . réactivité . autonomie . sens de le organisation
145gzwn,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
145hbwb,développeur informatique,langage informatique python . analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . anglais : lecture de documentation technique . capacité de adaptation . curiosité . sens de le organisation
145jyqg,développeur informatique,"diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . effectuer un assistance technique . installer et intégrer le matériel station , équipement réseau , périphérique . dans le environnement de production et configurer le ressource logique et physique . réaliser le maintenance de premier niveau de matériel informatique . superviser et vérifier le état de ressource informatique , réaliser le sauvegarde et le archivage de donnée . capacité de écoute . travail en équipe"
145mffd,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . langage informatique sql . rédiger un spécification technique de besoin stb . établir un cahier de charge
145pmkp,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
145pxvz,développeur informatique,concevoir et développer le programme et application informatique . déterminer un mesure correctif . analyser le besoin de client . rédiger un spécification technique de besoin stb . établir un cahier de charge . réactivité . travail en équipe . rigueur
145xqhj,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . travail en équipe . autonomie . sens de le organisation
145xyxy,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
145xznj,développeur informatique,analyser le besoin de client . base donnée relationnel mysql et ou postgresql . concevoir et développer le programme et application informatique . connaissance de application mobile . connaissance mod de commande shell script . environnement window . gestion de projet . maitrise de le architecteure mvc . maitrise de le méthode meris . maitrise de langage java sur j2ee . programmation multi-thread multi-process . web service rest ou soap . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . réactivité . travail en équipe . autonomie
146bfzs,développeur informatique,"analyser le besoin de client . concevoir et développer le programme et application informatique . développer un application en lien avec un base de donnée . programmation informatique . programmation logiciel . programmer dans un langage informatique spécifique . déterminer un choix technique de architecture logiciel et matériel et sélectionner un technologie , matériel , logiciel , configuration . déterminer un mesure correctif . déterminer le phase et procédure de test technique et fonctionnel de programme et application informatique . modélisation informatique . rédiger un spécification technique de besoin stb . sélectionner , assembler et intégrer un composant informatique progiciel , base de donnée , développement spécifique . traiter le information collecter , classer et mettre à jour . établir un cahier de charge . travail en équipe . sens de le organisation"
146bvsp,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . force de proposition . curiosité . gestion de stress
146ccjy,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . curiosité . autonomie . capacité de décision
146cmgr,développeur informatique,concevoir et développer le programme et application informatique . développer un application en lien avec un base de donnée . déterminer un mesure correctif . informatique industriel . langage informatique c#. langage informatique c C++ . langage informatique java . langage informatique sql . langage informatique visual basic . programmation informatique . capacité de adaptation . réactivité . autonomie
146cqcf,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
146cvsl,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . capacité de adaptation . travail en équipe . autonomie
146dfbz,développeur informatique,"automatism . concevoir le spécification de le installation automatiser en fonction de cahier de charge . réaliser le analyse fonctionnel de le installation et le décliner en un programme de automatisation . saisir le réinitialisation ou le modification de programme de automatisation et le transférer vers un automate programmable . vérifier le programme de automatisation par un série de test sur plate forme de essai , en atelier , sur site . autonomie . rigueur . sens de le organisation"
146dffx,développeur informatique,"automatism . concevoir le spécification de le installation automatiser en fonction de cahier de charge . réaliser le analyse fonctionnel de le installation et le décliner en un programme de automatisation . saisir le réinitialisation ou le modification de programme de automatisation et le transférer vers un automate programmable . vérifier le programme de automatisation par un série de test sur plate forme de essai , en atelier , sur site . autonomie . rigueur . sens de le organisation"
146djbk,développeur informatique,"framework : laravel , symfony . langage html5 , css3 , javascript jquery . php , ajax , sql , react , react natif . force de proposition . sens de le organisation . rigueur"
146fgpr,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
146fgqg,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
146fgqr,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
146fmxv,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . autonomie . sens de le organisation . rigueur
146gdkw,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
146hxmx,développeur informatique,"analyser un problème technique . architecture web . concevoir et développer le programme et application informatique . développer un application en lien avec un base de donnée . langage informatique html . langage informatique java . langage informatique php . langage informatique xml . réseau informatique et télécommunication . système de exploitation informatique . sélectionner , assembler et intégrer un composant informatique progiciel , base de donnée , développement spécifique . animer un formation . déterminer un mesure correctif . former un public à le utilisation de un équipement . gestion commercial , relation client . informatique de gestion . intervenir en informatique de gestion . paramétrer un progiciel . principe de intégration de matériel et de logiciel . outil bureautique . capacité de adaptation . réactivité . autonomie"
146jcdg,développeur informatique,"concevoir et développer le programme et application informatique . déterminer un mesure correctif . langage informatique html . langage informatique java . sélectionner , assembler et intégrer un composant informatique progiciel , base de donnée , développement spécifique . réactivité . sens de le organisation . rigueur"
146jdgy,développeur informatique,force de proposition . sens de le organisation . rigueur
146jldq,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
146jsqk,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
146jszl,développeur informatique,"concevoir le spécification de le installation automatiser en fonction de cahier de charge . installer de matériel de automatisation . réaliser le analyse fonctionnel de le installation et le décliner en un programme de automatisation . saisir le réinitialisation ou le modification de programme de automatisation et le transférer vers un automate programmable . vérifier le programme de automatisation par un série de test sur plate forme de essai , en atelier , sur site . réactivité . autonomie . rigueur"
146jtly,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
146jvrd,développeur informatique,"analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . big data : hdfs hadoop spark scala kafka . java ee , react natif , react js , angular , angula js . force de proposition . gestion de stress . autonomie"
146kymw,développeur informatique,analyser le besoin de client . base en electrotechnique . concevoir et développer le programme et application informatique . déterminer un mesure correctif . environnement linux . maitrise de langage automate . mautrise de protocole . ptratique electroniqu bt et asservissement . rédiger un spécification technique de besoin stb . force de proposition . sens de le communication . autonomie
146ldds,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
146myzp,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . force de proposition . travail en équipe . rigueur
146nbmk,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . capacité de adaptation . curiosité . sens de le organisation
146nchk,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
146nckn,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . capacité de adaptation . curiosité . sens de le organisation
146ngdp,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . capacité de adaptation . force de proposition
146ntym,développeur informatique,concevoir et développer le programme et application informatique . réactivité . travail en équipe . autonomie
146pjnh,développeur informatique,algorithmique . concevoir et développer le programme et application informatique . langage informatique c#. mathématique . persévérance . travail en équipe . rigueur
146pjqb,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . autonomie . capacité de adaptation . travail en équipe
146pkcg,développeur informatique,travail en équipe . autonomie . rigueur
146qtkx,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . réactivité . autonomie . sens de le organisation
146qtvy,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . réactivité . autonomie . sens de le organisation
146qwwt,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
146rfgt,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
146rxyn,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . langage informatique php . langage informatique sql . langage de programmation informatique . programmer dans un langage informatique spécifique . analyser un problème technique . déterminer un mesure correctif . développer un application en lien avec un base de donnée . planifier le étape de un projet . programmation informatique . rédiger un spécification technique de besoin stb . établir un cahier de charge . force de proposition . travail en équipe . rigueur
146skgb,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . réactivité . travail en équipe . autonomie
146skhy,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . établir un cahier de charge . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . réactivité . autonomie . sens de le organisation
146smcj,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . méthode agile . rédiger un spécification technique de besoin stb . établir un cahier de charge
146tbmw,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . capacité de adaptation . autonomie . rigueur
146vkcy,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
146vszy,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . capacité de adaptation . travail en équipe . autonomie
146xfsf,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . salondunumériqu
146xftd,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . établir un cahier de charge . travail en équipe . autonomie . rigueur
146xmqc,développeur informatique,"concevoir et développer le programme et application informatique . déterminer un mesure correctif . développer un application en lien avec un base de donnée . langage informatique java . langage informatique php . rédiger un spécification technique de besoin stb . établir un cahier de charge . analyser le besoin de client . architecture de application . architecture de système de information . architecture web . business intelligence bi informatique décisionnel . gestion de projet . informatique de gestion . intervenir en informatique de gestion . langage informatique c#. langage informatique c C++ . langage informatique python . langage informatique ruby . langage informatique sql . langage informatique xml . planifier le étape de un projet . réaliser un support technique . réaliser le mise en production de solution logiciel dans un environnement de exploitation . sélectionner , assembler et intégrer un composant informatique progiciel , base de donnée , développement spécifique . technologie de le accessibilité numérique . persévérance . autonomie . rigueur"
146xmth,développeur informatique,"c # wpf . analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . asp.net mvc . nosql mongodb , cassandrer , redire . sql mysql , postgresql , sqlserver . capacité de adaptation . persévérance . autonomie"
146xnmk,développeur informatique,c # .net . analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . mongodb ou postgresql
146xpqt,développeur informatique,java . analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . fx . swing . persévérance . réactivité . gestion de stress
146xqch,développeur informatique,window . analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
146xvfc,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
146yptx,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . capacité de adaptation . curiosité . autonomie
146yvnl,développeur informatique,configurer le poste de travail à besoin de le utilisateur et effectuer le test de fonctionnement . diagnostiquer à distance un dysfonctionnement informatique matériel ou logiciel . guider le utilisateur pour résoudre le dysfonctionnement ou prendre le contrôle de système à distance . identifier un ressource nécessaire à le résolution de un dysfonctionnement . renseigner le support de suivi de intervention et transmettre le information au service concerner
146zznz,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . curiosité . autonomie . capacité de décision
147blqf,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . réactivité . sens de le communication . autonomie
147bmkn,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
147bmzk,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
147btqd,développeur informatique,analyser un problème technique . concevoir et développer le programme et application informatique . déterminer un mesure correctif . déterminer le phase et procédure de test technique et fonctionnel de programme et application informatique . langage de programmation informatique . réactivité . travail en équipe . rigueur
147bzgk,développeur informatique,analyser le besoin de client . anglais technique . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . gestion de stress . sens de le communication . autonomie
147cbsh,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
147cfqb,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
147crsk,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
147cwmd,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . capacité de adaptation . travail en équipe . autonomie
147dgrt,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . persévérance . travail en équipe . rigueur
147dlgc,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
147drcx,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
147drgq,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
147dvhy,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . langage informatique c#. langage informatique c C++ . langage informatique delphi . langage informatique sql . réactivité . autonomie . sens de le organisation
147fpkk,développeur informatique,travail en équipe . autonomie . rigueur
147fygl,développeur informatique,force de proposition . réactivité . autonomie
147fzmj,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . travail en équipe . autonomie . rigueur
147fzqc,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . réactivité . autonomie . rigueur
147gbgx,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . salondunumériqu
147ggwn,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . développeurse tmer heure sur f heure sur f.
147glpq,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . sens de le communication . sens de le organisation . rigueur
147gxsq,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . curiosité . gestion de stress . autonomie
147hhsj,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
147hjtx,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
147hksd,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
147jbhr,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . réactivité . gestion de stress . autonomie
147jjss,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
147jkzy,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
147jlrn,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . curiosité . autonomie . sens de le organisation
147jmdg,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
147jmdx,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
147jqhh,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
147jqjr,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
147kcmz,développeur informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
146nsjq,développeur java,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . html . stack angular . stack java . stack microsoft . stack php . stack python . capacité de adaptation . travail en équipe
139glbf,développeur java,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
139wfsl,développeur java,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . capacité de adaptation . autonomie . sens de le organisation
145ngdp,développeur java,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
145rlsq,développeur java,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
147jgpq,développeur java,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
147jhrh,développeur java,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
147jhyt,développeur java,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
147jjdk,développeur java,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
147kkfy,développeur java,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . travail en équipe . sens de le communication . sens de le organisation
143rrlq,développeur java,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . sens de le communication . autonomie . sens de le organisation
141lksk,développeur java,capacité de adaptation . autonomie . rigueur
142blrk,développeur java,analyser un problème technique . analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . établir un cahier de charge . persévérance . rigueur . réactivité
143llhr,développeur java,analyser un problème technique . analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . établir un cahier de charge . travail en équipe . autonomie . rigueur
144kvtk,développeur java,concevoir et développer le programme et application informatique . langage informatique java . rédiger un spécification technique de besoin stb . analyser le besoin de client . déterminer un mesure correctif . établir un cahier de charge . autonomie . force de proposition . sens de le communication
144kwrd,développeur java,concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . analyser le besoin de client . langage informatique java . établir un cahier de charge . angular . react . autonomie . gestion de stress . travail en équipe
144kwwg,développeur java,concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . analyser le besoin de client . langage informatique java . établir un cahier de charge . react . autonomie . gestion de stress . travail en équipe
144qbfz,développeur java,capacité de adaptation . autonomie . rigueur
145fqlk,développeur java,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . déterminer le phase et procédure de test technique et fonctionnel de programme et application informatique . langage informatique java . langage informatique sql . réaliser un support technique . rédiger un spécification technique de besoin stb . établir un cahier de charge . sens de le communication . autonomie . rigueur
145plhd,développeur java,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
145plhn,développeur java,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
145plhz,développeur java,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
145plkn,développeur java,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
145pnqc,développeur java,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
145pqfm,développeur java,"analyser le besoin de client . animation de instance agile mêlée , démonstration , rétrospective , … . architecture de système de information . concevoir et développer le programme et application informatique . informatique de gestion . informatique industriel . langage informatique j2ee . méthode agile . réaliser un prototype de le solution technique pour validation par le donneur de ordre configuration type . rédiger un spécification technique de besoin stb . établir un cahier de charge . force de proposition . curiosité . autonomie"
145rtss,développeur java,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
145vpvh,développeur java,algorithmique . analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . langage de programmation informatique . programmation informatique . rédiger un spécification technique de besoin stb . établir un cahier de charge . # 1job
145wqmy,développeur java,concevoir et développer le programme et application informatique . établir un cahier de charge . analyser le besoin de client . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . capacité de adaptation . sens de le organisation . travail en équipe
145yvsd,développeur java,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . établir un cahier de charge . capacité de adaptation . force de proposition . autonomie
145yylk,développeur java,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
145zvrb,développeur java,analyser un problème technique . analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . établir un cahier de charge . capacité de adaptation . autonomie . rigueur
146ddqq,développeur java,gestion de stress . autonomie . rigueur
146fqcx,développeur java,travail en équipe . sens de le communication . sens de le organisation
146ghmy,développeur java,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . capacité de adaptation . sens de le communication . autonomie
146glqg,développeur java,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
146hjrk,développeur java,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
146hlkb,développeur java,concevoir et développer le programme et application informatique . langage informatique java . langage informatique python . langage informatique sql . programmation informatique . programmation logiciel . force de proposition . réactivité . autonomie
