identifiant,metier,competences
146lqvm,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . microsoft server 2016 . capacité de adaptation . sens de le communication . autonomie"
146mwcm,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . force de proposition . autonomie . sens de le organisation"
146nhwp,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
146nykc,administrateur systèmes et réseaux informatique,"cisco . actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . flux . forcepoint . fortinet . lan . meraki . mpls . wan . wifi"
146qbvd,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
147dkwx,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . capacité de adaptation . sens de le communication . sens de le organisation"
147fpzm,administrateur systèmes et réseaux informatique,travail en équipe . autonomie . rigueur
146jghq,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . capacité de adaptation . autonomie . rigueur"
146kjmn,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . conseiller de équipe de développement , de production et de utilisateur . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . gérer le droit de accès de utilisateur . installer un équipement informatique . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . sélectionner le équipement informatique . traiter le information collecter , classer et mettre à jour . travail en équipe . autonomie . rigueur"
147cghw,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . capacité de adaptation . gestion de stress . sens de le organisation"
